iter	Passed	Remaining
0	190	18887
1	288	14148
2	378	12251
3	468	11245
4	532	10112
5	618	9683
6	723	9610
7	792	9113
8	853	8629
9	922	8306
10	982	7949
11	1055	7738
12	1138	7618
13	1197	7358
14	1262	7156
15	1325	6958
16	1387	6772
17	1453	6620
18	1511	6442
19	1579	6319
20	1642	6179
21	1703	6038
22	1767	5916
23	1837	5820
24	1898	5696
25	1961	5583
26	2086	5640
27	2144	5513
28	2201	5389
29	2262	5278
30	2320	5163
31	2403	5106
32	2473	5022
33	2540	4931
34	2600	4830
35	2659	4727
36	2718	4628
37	2774	4527
38	2834	4434
39	2898	4348
40	2959	4258
41	3040	4198
42	3096	4104
43	3153	4014
44	3213	3927
45	3270	3839
46	3332	3757
47	3385	3667
48	3448	3589
49	3504	3504
50	3559	3419
51	3621	3342
52	3680	3263
53	3736	3182
54	3794	3104
55	3851	3026
56	3907	2948
57	3972	2876
58	4062	2823
59	4118	2745
60	4175	2669
61	4231	2593
62	4285	2517
63	4341	2441
64	4421	2380
65	4485	2310
66	4542	2237
67	4604	2167
68	4662	2094
69	4720	2022
70	4776	1950
71	4837	1881
72	4892	1809
73	4951	1739
74	5040	1680
75	5103	1611
76	5158	1540
77	5218	1471
78	5274	1402
79	5334	1333
80	5392	1264
81	5449	1196
82	5507	1128
83	5569	1060
84	5634	994
85	5692	926
86	5750	859
87	5810	792
88	5867	725
89	5923	658
90	5979	591
91	6066	527
92	6126	461
93	6186	394
94	6239	328
95	6300	262
96	6353	196
97	6407	130
98	6466	65
99	6522	0
