iter	Passed	Remaining
0	103	103747
1	205	102390
2	277	92198
3	344	85835
4	416	82793
5	483	80075
6	560	79490
7	629	78070
8	705	77693
9	764	75668
10	817	73503
11	876	72139
12	928	70519
13	984	69338
14	1033	67835
15	1082	66593
16	1134	65615
17	1193	65135
18	1261	65126
19	1324	64890
20	1378	64260
21	1434	63772
22	1490	63295
23	1543	62749
24	1594	62193
25	1643	61580
26	1693	61023
27	1741	60471
28	1795	60109
29	1868	60403
30	1933	60428
31	2000	60506
32	2065	60537
33	2126	60414
34	2179	60092
35	2229	59704
36	2286	59510
37	2338	59204
38	2401	59177
39	2457	58977
40	2509	58696
41	2560	58412
42	2616	58243
43	2672	58067
44	2725	57834
45	2780	57674
46	2833	57457
47	2888	57294
48	2941	57082
49	3055	58054
50	3423	63709
51	3592	65493
52	3674	65653
53	3796	66510
54	3854	66218
55	3911	65932
56	3965	65604
57	4018	65268
58	4107	65505
59	4158	65148
60	4207	64773
61	4257	64404
62	4305	64038
63	4373	63963
64	4422	63614
65	4473	63313
66	4524	63007
67	4601	63068
68	4669	63003
69	4730	62842
70	4785	62621
71	4840	62384
72	4896	62173
73	4949	61941
74	5018	61890
75	5081	61785
76	5152	61762
77	5218	61679
78	5285	61619
79	5351	61545
80	5421	61516
81	5513	61722
82	5584	61702
83	5638	61489
84	5689	61250
85	5745	61060
86	5794	60810
87	5845	60576
88	5895	60344
89	5945	60119
90	5996	59901
91	6051	59729
92	6105	59548
93	6167	59443
94	6226	59314
95	6283	59169
96	6337	58997
97	6387	58790
98	6437	58592
99	6487	58390
100	6538	58196
101	6616	58252
102	6668	58074
103	6722	57920
104	6781	57801
105	6840	57694
106	6891	57514
107	6942	57338
108	6993	57168
109	7046	57012
110	7096	56833
111	7152	56712
112	7209	56593
113	7266	56475
114	7325	56377
115	7378	56231
116	7443	56172
117	7492	56006
118	7547	55875
119	7605	55776
120	7663	55674
121	7728	55622
122	7794	55577
123	7852	55476
124	7908	55360
125	7964	55244
126	8020	55133
127	8071	54987
128	8121	54836
129	8173	54700
130	8225	54566
131	8274	54411
132	8333	54322
133	8398	54277
134	8466	54251
135	8544	54284
136	8623	54321
137	8679	54218
138	8741	54145
139	8798	54045
140	8849	53910
141	8901	53785
142	8952	53651
143	9003	53520
144	9096	53635
145	9144	53490
146	9194	53351
147	9246	53228
148	9295	53093
149	9345	52960
150	9394	52819
151	9447	52705
152	9496	52572
153	9548	52453
154	9598	52328
155	9650	52210
156	9699	52081
157	9748	51950
158	9799	51829
159	9849	51709
160	9899	51590
161	9949	51467
162	10002	51361
163	10053	51248
164	10103	51131
165	10154	51016
166	10204	50900
167	10268	50852
168	10338	50835
169	10405	50805
170	10475	50786
171	10553	50804
172	10614	50743
173	10672	50664
174	10726	50568
175	10776	50453
176	10834	50379
177	10887	50276
178	10944	50198
179	10997	50097
180	11046	49985
181	11099	49887
182	11149	49774
183	11198	49661
184	11259	49604
185	11309	49495
186	11361	49395
187	11409	49280
188	11461	49181
189	11510	49072
190	11562	48973
191	11610	48862
192	11662	48763
193	11712	48662
194	11761	48554
195	11811	48452
196	11866	48371
197	11936	48349
198	12006	48328
199	12072	48288
200	12131	48223
201	12220	48277
202	12277	48202
203	12340	48151
204	12393	48062
205	12447	47976
206	12497	47876
207	12547	47778
208	12599	47685
209	12650	47591
210	12698	47485
211	12748	47386
212	12801	47298
213	12858	47226
214	12910	47137
215	12962	47050
216	13016	46966
217	13066	46870
218	13117	46779
219	13169	46690
220	13220	46600
221	13286	46562
222	13338	46475
223	13405	46440
224	13465	46382
225	13532	46344
226	13611	46349
227	13671	46290
228	13731	46230
229	13792	46173
230	13847	46097
231	13921	46085
232	13971	45991
233	14057	46017
234	14107	45923
235	14160	45842
236	14213	45757
237	14265	45674
238	14320	45598
239	14380	45537
240	14431	45449
241	14477	45347
242	14528	45260
243	14577	45167
244	14629	45082
245	14680	44994
246	14727	44897
247	14776	44807
248	14826	44718
249	14878	44634
250	14926	44540
251	14977	44455
252	15028	44371
253	15078	44286
254	15130	44204
255	15180	44118
256	15236	44048
257	15287	43965
258	15339	43886
259	15392	43808
260	15447	43737
261	15497	43653
262	15552	43582
263	15604	43504
264	15655	43422
265	15705	43338
266	15754	43250
267	15805	43168
268	15852	43078
269	15900	42991
270	15953	42914
271	16003	42831
272	16057	42760
273	16107	42679
274	16155	42592
275	16205	42509
276	16255	42428
277	16306	42349
278	16357	42270
279	16406	42187
280	16454	42103
281	16503	42020
282	16555	41943
283	16607	41870
284	16657	41789
285	16711	41720
286	16767	41655
287	16828	41603
288	16888	41549
289	16954	41509
290	17017	41461
291	17075	41402
292	17127	41326
293	17180	41257
294	17236	41192
295	17304	41157
296	17376	41130
297	17438	41080
298	17486	40997
299	17538	40922
300	17588	40844
301	17668	40836
302	17717	40756
303	17766	40675
304	17815	40595
305	17865	40518
306	17913	40436
307	17960	40352
308	18011	40277
309	18061	40202
310	18110	40123
311	18158	40042
312	18207	39964
313	18254	39881
314	18307	39811
315	18358	39737
316	18408	39663
317	18463	39598
318	18522	39541
319	18591	39507
320	18665	39482
321	18723	39424
322	18784	39371
323	18838	39305
324	18887	39227
325	18939	39158
326	19035	39177
327	19087	39106
328	19142	39040
329	19193	38968
330	19244	38895
331	19297	38828
332	19351	38760
333	19408	38701
334	19459	38628
335	19512	38561
336	19565	38492
337	19621	38429
338	19672	38359
339	19726	38291
340	19779	38224
341	19832	38158
342	19882	38084
343	19937	38020
344	19993	37958
345	20103	37999
346	20445	38474
347	20546	38495
348	20714	38639
349	20770	38573
350	20895	38635
351	20959	38583
352	21010	38509
353	21065	38441
354	21121	38376
355	21179	38312
356	21230	38239
357	21286	38173
358	21338	38100
359	21392	38031
360	21442	37954
361	21509	37909
362	21557	37830
363	21612	37762
364	21678	37714
365	21758	37691
366	21820	37635
367	21881	37578
368	21937	37514
369	21990	37444
370	22043	37372
371	22099	37307
372	22173	37273
373	22229	37208
374	22286	37144
375	22350	37092
376	22402	37020
377	22451	36944
378	22504	36874
379	22552	36796
380	22605	36725
381	22655	36651
382	22705	36578
383	22755	36502
384	22803	36426
385	22856	36357
386	22906	36283
387	22958	36212
388	23007	36138
389	23055	36061
390	23105	35987
391	23154	35913
392	23204	35840
393	23255	35769
394	23305	35695
395	23357	35625
396	23407	35553
397	23458	35481
398	23509	35411
399	23557	35335
400	23613	35272
401	23693	35245
402	23743	35172
403	23795	35103
404	23858	35050
405	23908	34979
406	23960	34910
407	24038	34879
408	24092	34813
409	24146	34747
410	24197	34677
411	24246	34604
412	24298	34534
413	24350	34466
414	24406	34403
415	24465	34346
416	24524	34287
417	24583	34229
418	24649	34180
419	24701	34111
420	24753	34042
421	24804	33973
422	24855	33903
423	24905	33834
424	24957	33766
425	25009	33698
426	25061	33629
427	25111	33559
428	25162	33490
429	25212	33421
430	25266	33356
431	25317	33287
432	25381	33236
433	25454	33196
434	25505	33128
435	25562	33067
436	25615	33001
437	25666	32932
438	25716	32863
439	25765	32792
440	25818	32726
441	25868	32657
442	25916	32585
443	25965	32515
444	26016	32447
445	26067	32380
446	26116	32309
447	26167	32242
448	26217	32172
449	26267	32104
450	26315	32033
451	26366	31966
452	26425	31909
453	26481	31848
454	26533	31781
455	26584	31714
456	26634	31646
457	26685	31579
458	26734	31510
459	26782	31439
460	26831	31371
461	26882	31304
462	26932	31236
463	26984	31171
464	27039	31110
465	27098	31052
466	27159	30998
467	27218	30940
468	27268	30873
469	27318	30805
470	27367	30737
471	27416	30669
472	27468	30604
473	27518	30537
474	27570	30472
475	27620	30405
476	27672	30340
477	27722	30274
478	27778	30214
479	27839	30158
480	27933	30140
481	28003	30095
482	28056	30031
483	28107	29965
484	28156	29898
485	28207	29832
486	28256	29765
487	28306	29698
488	28356	29632
489	28406	29565
490	28460	29503
491	28517	29444
492	28574	29386
493	28630	29326
494	28688	29268
495	28741	29205
496	28791	29139
497	28841	29073
498	28894	29010
499	28943	28943
500	29024	28908
501	29097	28865
502	29146	28798
503	29195	28731
504	29242	28663
505	29293	28598
506	29343	28533
507	29391	28466
508	30170	29103
509	30247	29061
510	30328	29023
511	30403	28978
512	30508	28962
513	30598	28931
514	30693	28905
515	30781	28872
516	30864	28835
517	30944	28794
518	31027	28755
519	31136	28741
520	31213	28696
521	31286	28649
522	31360	28602
523	31457	28576
524	31578	28570
525	31683	28551
526	31798	28540
527	31867	28487
528	31922	28422
529	31975	28355
530	32029	28289
531	32083	28223
532	32140	28160
533	32195	28096
534	32247	28028
535	32298	27960
536	32348	27890
537	32399	27822
538	32448	27752
539	32498	27684
540	32549	27615
541	32599	27547
542	32651	27480
543	32717	27425
544	32784	27370
545	32857	27320
546	32947	27285
547	33032	27245
548	33122	27209
549	33186	27152
550	33244	27090
551	33313	27037
552	33376	26978
553	33430	26913
554	33487	26850
555	33550	26792
556	33609	26730
557	33669	26669
558	33733	26612
559	33800	26557
560	33873	26507
561	33928	26442
562	34012	26400
563	34070	26337
564	34125	26273
565	34182	26210
566	34243	26150
567	34298	26086
568	34360	26026
569	34413	25960
570	34468	25896
571	34525	25833
572	34575	25765
573	34628	25700
574	34682	25635
575	34737	25570
576	34793	25507
577	34847	25442
578	34904	25379
579	34960	25316
580	35016	25253
581	35073	25190
582	35122	25121
583	35180	25060
584	35241	25000
585	35295	24936
586	35349	24871
587	35407	24809
588	35466	24747
589	35529	24689
590	35604	24639
591	35674	24586
592	35742	24531
593	35810	24476
594	35879	24422
595	35937	24360
596	35991	24295
597	36042	24229
598	36093	24162
599	36158	24105
600	36212	24041
601	36296	23996
602	36347	23930
603	36397	23863
604	36448	23796
605	36500	23731
606	36553	23666
607	36612	23605
608	36669	23543
609	36721	23477
610	36771	23410
611	36817	23342
612	36868	23275
613	36919	23209
614	36969	23143
615	37020	23077
616	37069	23010
617	37119	22944
618	37171	22879
619	37220	22812
620	37269	22746
621	37319	22679
622	37371	22614
623	37422	22549
624	37474	22484
625	37525	22419
626	37576	22353
627	37626	22288
628	37676	22222
629	37726	22156
630	37774	22089
631	37827	22025
632	37877	21960
633	37928	21895
634	37976	21829
635	38028	21764
636	38078	21699
637	38127	21633
638	38178	21568
639	38697	21767
640	38795	21727
641	38848	21663
642	38896	21595
643	38978	21547
644	39027	21480
645	39075	21412
646	39124	21346
647	39173	21279
648	39222	21212
649	39271	21146
650	39318	21078
651	39367	21011
652	39416	20945
653	39466	20879
654	39517	20814
655	39565	20747
656	39612	20680
657	39666	20616
658	39714	20550
659	39765	20485
660	39815	20419
661	39868	20355
662	39915	20289
663	39966	20224
664	40013	20157
665	40061	20090
666	40107	20023
667	40157	19958
668	40205	19892
669	40253	19826
670	40302	19760
671	40350	19695
672	40401	19630
673	40450	19565
674	40498	19499
675	40547	19433
676	40596	19368
677	40645	19303
678	40694	19238
679	40742	19173
680	40790	19107
681	40838	19041
682	40888	18977
683	40938	18913
684	40990	18849
685	41041	18785
686	41092	18721
687	41141	18657
688	41192	18593
689	41241	18528
690	41292	18464
691	41341	18400
692	41391	18336
693	41440	18272
694	41491	18208
695	41539	18143
696	41589	18079
697	41642	18017
698	41692	17953
699	41741	17889
700	41790	17825
701	41864	17771
702	41915	17708
703	41964	17644
704	42015	17580
705	42063	17516
706	42110	17451
707	42159	17387
708	42210	17324
709	42258	17260
710	42309	17197
711	42359	17134
712	42408	17070
713	42460	17007
714	42527	16951
715	42599	16897
716	42675	16844
717	42735	16784
718	42791	16723
719	42853	16665
720	42923	16609
721	42989	16552
722	43051	16494
723	43105	16432
724	43160	16371
725	43218	16311
726	43273	16249
727	43323	16186
728	43378	16125
729	43446	16069
730	43518	16014
731	43586	15957
732	43656	15902
733	43726	15846
734	43794	15789
735	43860	15732
736	43948	15682
737	44000	15620
738	44053	15558
739	44107	15497
740	44167	15437
741	44220	15375
742	44276	15315
743	44329	15253
744	44384	15191
745	44434	15129
746	44490	15068
747	44543	15006
748	44606	14948
749	44659	14886
750	44714	14825
751	44765	14763
752	44815	14700
753	44867	14638
754	44921	14577
755	44984	14518
756	45049	14461
757	45121	14405
758	45189	14348
759	45258	14292
760	45326	14235
761	45392	14177
762	45451	14118
763	45505	14056
764	45558	13995
765	45611	13933
766	45662	13871
767	45715	13809
768	45769	13748
769	45821	13686
770	45871	13624
771	45924	13563
772	45973	13500
773	46025	13439
774	46074	13376
775	46124	13314
776	46173	13251
777	46223	13189
778	46271	13127
779	46320	13064
780	46368	13002
781	46419	12940
782	46470	12878
783	46518	12816
784	46569	12754
785	46619	12692
786	46668	12630
787	46717	12568
788	46766	12506
789	46815	12444
790	46864	12382
791	46915	12321
792	46967	12260
793	47018	12198
794	47067	12136
795	47117	12075
796	47168	12013
797	47228	11955
798	47279	11893
799	47330	11832
800	47379	11771
801	48144	11885
802	48195	11823
803	48249	11762
804	48296	11699
805	48344	11636
806	48394	11573
807	48450	11512
808	48509	11452
809	48564	11391
810	48618	11330
811	48675	11269
812	48736	11210
813	48796	11150
814	48863	11091
815	48969	11042
816	49036	10983
817	49101	10924
818	49166	10865
819	49230	10806
820	49291	10746
821	49357	10688
822	49417	10628
823	49483	10569
824	49549	10510
825	49616	10451
826	49680	10392
827	49748	10334
828	49812	10275
829	49871	10214
830	49931	10154
831	49995	10095
832	50056	10035
833	50118	9975
834	50178	9915
835	50242	9856
836	50305	9796
837	50366	9736
838	50429	9677
839	50495	9618
840	50552	9557
841	50620	9498
842	50677	9438
843	50731	9376
844	50778	9314
845	50827	9252
846	50875	9190
847	50924	9128
848	50973	9065
849	51019	9003
850	51065	8941
851	51113	8878
852	51162	8817
853	51210	8755
854	51258	8693
855	51306	8631
856	51356	8569
857	51403	8507
858	51452	8445
859	51499	8383
860	51546	8321
861	51596	8260
862	51645	8198
863	51695	8137
864	51745	8075
865	51795	8014
866	51845	7953
867	51894	7891
868	51945	7830
869	51996	7769
870	52047	7708
871	52096	7647
872	52144	7585
873	52200	7525
874	52250	7464
875	52298	7403
876	52346	7341
877	52397	7280
878	52447	7219
879	52497	7158
880	52544	7097
881	52594	7036
882	52643	6975
883	52696	6914
884	52745	6853
885	52799	6793
886	52851	6733
887	52904	6672
888	52957	6612
889	53014	6552
890	53078	6493
891	53140	6434
892	53198	6374
893	53249	6313
894	53299	6253
895	53344	6191
896	53393	6131
897	53443	6070
898	53495	6010
899	53544	5949
900	53593	5888
901	53670	5831
902	53719	5770
903	53769	5710
904	53819	5649
905	53867	5588
906	53945	5531
907	53995	5470
908	54044	5410
909	54096	5350
910	54145	5289
911	54196	5229
912	54247	5169
913	54296	5108
914	54344	5048
915	54395	4988
916	54444	4927
917	54495	4867
918	54543	4807
919	54593	4747
920	54643	4687
921	54692	4626
922	54743	4566
923	54795	4506
924	54844	4446
925	54902	4387
926	54965	4328
927	55033	4269
928	55101	4211
929	55168	4152
930	55233	4093
931	55300	4034
932	55388	3977
933	55446	3918
934	55504	3858
935	55553	3798
936	55603	3738
937	55654	3678
938	55703	3618
939	55752	3558
940	55803	3498
941	55856	3439
942	55923	3380
943	55984	3321
944	56046	3261
945	56103	3202
946	56152	3142
947	56204	3082
948	56255	3023
949	56306	2963
950	56356	2903
951	56407	2844
952	56459	2784
953	56515	2725
954	56576	2665
955	56627	2606
956	56677	2546
957	56728	2487
958	56777	2427
959	56828	2367
960	56880	2308
961	56936	2249
962	56991	2189
963	57077	2131
964	57146	2072
965	57228	2014
966	57286	1954
967	57344	1895
968	57394	1836
969	57447	1776
970	57499	1717
971	57552	1657
972	57614	1598
973	57710	1540
974	57779	1481
975	57834	1422
976	57889	1362
977	57939	1303
978	57988	1243
979	58040	1184
980	58092	1125
981	58146	1065
982	58203	1006
983	58258	947
984	58323	888
985	58392	829
986	58470	770
987	58543	711
988	58608	651
989	58664	592
990	58714	533
991	58766	473
992	58836	414
993	58921	355
994	58974	296
995	59025	237
996	59079	177
997	59130	118
998	59182	59
999	59234	0
